2024-05-07 00:13:27 [main] INFO  c.h.s.SpringBootRestApiPostgresqlApplication - Starting SpringBootRestApiPostgresqlApplication using Java 17.0.10 with PID 11844 (C:\Users\HP-Laptop\Desktop\Cloud\Laborator 2\target\classes started by HP-Laptop in C:\Users\HP-Laptop\Desktop\Cloud\Laborator 2)
2024-05-07 00:13:28 [main] INFO  c.h.s.SpringBootRestApiPostgresqlApplication - No active profile set, falling back to 1 default profile: "default"
2024-05-07 00:13:28 [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Bootstrapping Spring Data JPA repositories in DEFAULT mode.
2024-05-07 00:13:28 [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Finished Spring Data repository scanning in 63 ms. Found 2 JPA repository interfaces.
2024-05-07 00:13:29 [main] INFO  o.s.b.w.e.tomcat.TomcatWebServer - Tomcat initialized with port(s): 8080 (http)
2024-05-07 00:13:29 [main] INFO  o.a.catalina.core.StandardService - Starting service [Tomcat]
2024-05-07 00:13:29 [main] INFO  o.a.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/10.1.15]
2024-05-07 00:13:29 [main] INFO  o.a.c.c.C.[Tomcat].[localhost].[/] - Initializing Spring embedded WebApplicationContext
2024-05-07 00:13:29 [main] INFO  o.s.b.w.s.c.ServletWebServerApplicationContext - Root WebApplicationContext: initialization completed in 1766 ms
2024-05-07 00:13:30 [main] INFO  o.h.jpa.internal.util.LogHelper - HHH000204: Processing PersistenceUnitInfo [name: default]
2024-05-07 00:13:30 [main] INFO  org.hibernate.Version - HHH000412: Hibernate ORM core version 6.2.13.Final
2024-05-07 00:13:30 [main] INFO  org.hibernate.cfg.Environment - HHH000406: Using bytecode reflection optimizer
2024-05-07 00:13:30 [main] INFO  o.s.o.j.p.SpringPersistenceUnitInfo - No LoadTimeWeaver setup: ignoring JPA class transformer
2024-05-07 00:13:30 [main] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Starting...
2024-05-07 00:13:32 [main] INFO  com.zaxxer.hikari.pool.HikariPool - HikariPool-1 - Added connection org.postgresql.jdbc.PgConnection@4eb63dc8
2024-05-07 00:13:32 [main] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Start completed.
2024-05-07 00:13:32 [main] WARN  org.hibernate.orm.deprecation - HHH90000025: PostgreSQLDialect does not need to be specified explicitly using 'hibernate.dialect' (remove the property setting and it will be selected by default)
2024-05-07 00:13:34 [main] INFO  o.h.e.t.j.p.i.JtaPlatformInitiator - HHH000489: No JTA platform available (set 'hibernate.transaction.jta.platform' to enable JTA platform integration)
2024-05-07 00:13:35 [main] INFO  o.s.o.j.LocalContainerEntityManagerFactoryBean - Initialized JPA EntityManagerFactory for persistence unit 'default'
2024-05-07 00:13:36 [main] WARN  o.s.b.a.o.j.JpaBaseConfiguration$JpaWebConfiguration - spring.jpa.open-in-view is enabled by default. Therefore, database queries may be performed during view rendering. Explicitly configure spring.jpa.open-in-view to disable this warning
2024-05-07 00:13:37 [main] WARN  o.s.b.a.s.s.UserDetailsServiceAutoConfiguration - 

Using generated security password: d6c82dd7-724d-4fa4-821f-ce04d6d093e8

This generated password is for development use only. Your security configuration must be updated before running your application in production.

2024-05-07 00:13:37 [main] INFO  o.s.s.web.DefaultSecurityFilterChain - Will secure any request with [org.springframework.security.web.session.DisableEncodeUrlFilter@62ad5f35, org.springframework.security.web.context.request.async.WebAsyncManagerIntegrationFilter@5e6ad84c, org.springframework.security.web.context.SecurityContextHolderFilter@2a728076, org.springframework.security.web.header.HeaderWriterFilter@34128fed, org.springframework.security.web.csrf.CsrfFilter@671c71e8, org.springframework.security.web.authentication.logout.LogoutFilter@713c8cbb, org.springframework.security.web.authentication.UsernamePasswordAuthenticationFilter@579cfcc4, org.springframework.security.web.authentication.ui.DefaultLoginPageGeneratingFilter@119f035f, org.springframework.security.web.authentication.ui.DefaultLogoutPageGeneratingFilter@4117e0c9, org.springframework.security.web.authentication.www.BasicAuthenticationFilter@74f9004c, org.springframework.security.web.savedrequest.RequestCacheAwareFilter@67fda9fb, org.springframework.security.web.servletapi.SecurityContextHolderAwareRequestFilter@1ec98548, org.springframework.security.web.authentication.AnonymousAuthenticationFilter@568e2d65, org.springframework.security.web.access.ExceptionTranslationFilter@18b88f7, org.springframework.security.web.access.intercept.AuthorizationFilter@4e773b8a]
2024-05-07 00:13:37 [main] INFO  o.s.b.w.e.tomcat.TomcatWebServer - Tomcat started on port(s): 8080 (http) with context path ''
2024-05-07 00:13:37 [main] INFO  c.h.s.SpringBootRestApiPostgresqlApplication - Started SpringBootRestApiPostgresqlApplication in 9.98 seconds (process running for 10.53)
2024-05-07 00:13:56 [http-nio-8080-exec-1] INFO  o.a.c.c.C.[Tomcat].[localhost].[/] - Initializing Spring DispatcherServlet 'dispatcherServlet'
2024-05-07 00:13:56 [http-nio-8080-exec-1] INFO  o.s.web.servlet.DispatcherServlet - Initializing Servlet 'dispatcherServlet'
2024-05-07 00:13:56 [http-nio-8080-exec-1] INFO  o.s.web.servlet.DispatcherServlet - Completed initialization in 1 ms
2024-05-07 00:19:24 [SpringApplicationShutdownHook] INFO  o.s.o.j.LocalContainerEntityManagerFactoryBean - Closing JPA EntityManagerFactory for persistence unit 'default'
2024-05-07 00:19:24 [SpringApplicationShutdownHook] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Shutdown initiated...
2024-05-07 00:19:28 [SpringApplicationShutdownHook] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Shutdown completed.
2024-05-07 00:20:02 [main] INFO  c.h.s.SpringBootRestApiPostgresqlApplication - Starting SpringBootRestApiPostgresqlApplication using Java 17.0.10 with PID 11700 (C:\Users\HP-Laptop\Desktop\Cloud\Laborator 2\target\classes started by HP-Laptop in C:\Users\HP-Laptop\Desktop\Cloud\Laborator 2)
2024-05-07 00:20:02 [main] INFO  c.h.s.SpringBootRestApiPostgresqlApplication - No active profile set, falling back to 1 default profile: "default"
2024-05-07 00:20:03 [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Bootstrapping Spring Data JPA repositories in DEFAULT mode.
2024-05-07 00:20:03 [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Finished Spring Data repository scanning in 104 ms. Found 2 JPA repository interfaces.
2024-05-07 00:20:04 [main] INFO  o.s.b.w.e.tomcat.TomcatWebServer - Tomcat initialized with port(s): 8080 (http)
2024-05-07 00:20:04 [main] INFO  o.a.catalina.core.StandardService - Starting service [Tomcat]
2024-05-07 00:20:04 [main] INFO  o.a.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/10.1.15]
2024-05-07 00:20:04 [main] INFO  o.a.c.c.C.[Tomcat].[localhost].[/] - Initializing Spring embedded WebApplicationContext
2024-05-07 00:20:04 [main] INFO  o.s.b.w.s.c.ServletWebServerApplicationContext - Root WebApplicationContext: initialization completed in 1600 ms
2024-05-07 00:20:04 [main] INFO  o.h.jpa.internal.util.LogHelper - HHH000204: Processing PersistenceUnitInfo [name: default]
2024-05-07 00:20:04 [main] INFO  org.hibernate.Version - HHH000412: Hibernate ORM core version 6.2.13.Final
2024-05-07 00:20:04 [main] INFO  org.hibernate.cfg.Environment - HHH000406: Using bytecode reflection optimizer
2024-05-07 00:20:04 [main] INFO  o.s.o.j.p.SpringPersistenceUnitInfo - No LoadTimeWeaver setup: ignoring JPA class transformer
2024-05-07 00:20:04 [main] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Starting...
2024-05-07 00:20:06 [main] INFO  com.zaxxer.hikari.pool.HikariPool - HikariPool-1 - Added connection org.postgresql.jdbc.PgConnection@521ba38f
2024-05-07 00:20:06 [main] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Start completed.
2024-05-07 00:20:07 [main] WARN  org.hibernate.orm.deprecation - HHH90000025: PostgreSQLDialect does not need to be specified explicitly using 'hibernate.dialect' (remove the property setting and it will be selected by default)
2024-05-07 00:20:08 [main] INFO  o.h.e.t.j.p.i.JtaPlatformInitiator - HHH000489: No JTA platform available (set 'hibernate.transaction.jta.platform' to enable JTA platform integration)
2024-05-07 00:20:09 [main] INFO  o.s.o.j.LocalContainerEntityManagerFactoryBean - Initialized JPA EntityManagerFactory for persistence unit 'default'
2024-05-07 00:20:10 [main] WARN  o.s.b.a.o.j.JpaBaseConfiguration$JpaWebConfiguration - spring.jpa.open-in-view is enabled by default. Therefore, database queries may be performed during view rendering. Explicitly configure spring.jpa.open-in-view to disable this warning
2024-05-07 00:20:10 [main] WARN  o.s.b.a.s.s.UserDetailsServiceAutoConfiguration - 

Using generated security password: d5c26a64-9242-4778-8bf5-3f1818832e40

This generated password is for development use only. Your security configuration must be updated before running your application in production.

